CATEGORIA,CODIGO,DESCRIPCION,PRECIO_MAYORISTA,PVP,ESTADO
MOCHILAS,33020,MOCHILA BACKPACK PRESTIGE BLACK,49999,115999,DISPONIBLE
MOCHILAS,33021,MOCHILA PRESTIGE EXECUTIVE GREY,49999,115999,DISPONIBLE
MOCHILAS,33022,MOCHILA PRO 23 SIGNATURE GREEN,69999,139000,DISPONIBLE
MOCHILAS,33030,MOCHILA LUXE PRO EXECUTIVE BLACK,59999,139000,DISPONIBLE
MOCHILAS,33040,MOCHILA INNOVATOR EXECUTIVE BLACK,52000,115999,DISPONIBLE
MOCHILAS,33048,MOCHILA PRO 23 SIGNATURE 1205 BLACK,68999,139000,DISPONIBLE
MOCHILAS,33050,MOCHILA BACKPACK XPERT BLACK,39999,98999,DISPONIBLE
MOCHILAS,33051,MOCHILA BACKPACK XPERT GREY,39999,115999,DISPONIBLE
MOCHILAS,33055,MOCHILA JOURNEY LITE M BLACK,64999,129900,DISPONIBLE
MOCHILAS,33056,MOCHILA JOURNEY LITE M GREY,64999,129900,DISPONIBLE
MOCHILAS,33057,MOCHILA JOURNEY LITE M NAVY BLUE,64999,129900,DISPONIBLE
MOCHILAS,33059,MOCHILA ADVENTURE PACK,44500,94999,DISPONIBLE
MOCHILAS,33070,MOCHILA METRO PRO EXECUTIVE BLACK,49999,114999,DISPONIBLE
MOCHILAS,33075,MOCHILA ELEGANCE EXECUTIVE BLACK,49999,114999,DISPONIBLE
MOCHILAS,33098,MOCHILA ECOJOURNEY TECH,79999,169000,DISPONIBLE
MOCHILAS,33100,MOCHILA CITY SCAPE URBAN BLUE,34999,79899,DISPONIBLE
MOCHILAS,33103,MOCHILA TREKKER LITE BLACK,34999,79899,DISPONIBLE
MOCHILAS,33104,MOCHILA TREKKER BLACK,36500,64999,DISPONIBLE
MOCHILAS,33107,MOCHILA TREKKER CAMEL,34999,85000,DISPONIBLE
MOCHILAS,33109,MOCHILA TREKKER OLIVE,34999,85000,DISPONIBLE
MOCHILAS,33110,MOCHILA HARMONY URBAN BLUE,34999,79899,DISPONIBLE
MOCHILAS,33111,MOCHILA HARMONY URBAN GREY,34999,79899,DISPONIBLE
MOCHILAS,33120,MOCHILA DOWNTOWN EXPLORER BLACK,34999,79899,DISPONIBLE
MOCHILAS,33121,MOCHILA DOWNTOWN EXPLORER NAVY,34999,79899,DISPONIBLE
MOCHILAS,33180,MOCHILA BACKPACK ISOLA MILAN BLACK,36999,79999,DISPONIBLE
MOCHILAS,3BP-5711.1,MOCHILA BACKPACK DUBLIN BLACK,33999,75000,DISPONIBLE
MOCHILAS,3BP-5712.1,MOCHILA BACKPACK MEDELLIN BLACK,29999,52000,DISPONIBLE
MOCHILAS,3BP-5753.1,MOCHILA BACKPACK NEW ORLEAN BLACK,24999,43000,DISPONIBLE
MOCHILAS,3BP-5761.1,MOCHILA BACKPACK MELBOURNE BLACK,29999,52000,DISPONIBLE
VALIJAS,43305,"VALIJA CARRY ON 20"" WANDERER TITAN",83500,165000,DISPONIBLE
VALIJAS,43307,"VALIJA CARRY ON 20"" WANDERER NEGRA",83500,165000,DISPONIBLE
VALIJAS,43311,"VALIJA CARRY ON JOURNEYJET BLACK 20""",83500,165000,DISPONIBLE
VALIJAS,43312,"VALIJA CARRY ON JOURNEYJET WHITE 20""",83500,165000,DISPONIBLE
VALIJAS,43313,"VALIJA CARRY ON JOURNEYJET GREEN 20""",83500,165000,DISPONIBLE
VALIJAS,43314,"VALIJA CARRY ON ADVENTURE NAVY 20""",83500,165000,DISPONIBLE
VALIJAS,43315,"VALIJA CARRY ON 20"" ADVENTURE NEGRA",83500,165000,DISPONIBLE
VALIJAS,43327,"VALIJA CARRY ON 20"" LUXE WANDERER ORANGE",83500,165000,DISPONIBLE
VALIJAS,43329,"VALIJA CARRY ON 20"" LUXE WANDERER PURPLE",83500,165000,DISPONIBLE
VALIJAS,43351,"VALIJA CARRY ON 20"" SAHARA NUDE",62500,129999,AGOTADO
VALIJAS,43352,"VALIJA CARRY ON 20"" SAHARA BLACK",62500,129999,DISPONIBLE
VALIJAS,43353,"VALIJA CARRY ON 20"" SAHARA TURQUESA",62500,129999,DISPONIBLE
VALIJAS,433.68-72,"SET VALIJA EVEREST 20"" 24"" NEGRA",128400,269998,DISPONIBLE
VALIJAS,4330.1-2,"SET VALIJA 20"" 24"" NOMAD NEGRA",178500,364999,DISPONIBLE
VALIJAS,4330.3-4,"SET VALIJA 20"" 24"" NOMAD PINK",178500,364999,DISPONIBLE
ACCESORIOS,3065,MOCHILA PLEGABLE,12999,29900,DISPONIBLE
ACCESORIOS,3068,MOCHILA PLEGABLE,10999,24900,DISPONIBLE
ACCESORIOS,8027,CANDADO DE SEGURIDAD TSA,5399,13989,DISPONIBLE
ACCESORIOS,8028,CANDADOS TSA PARA VALIJA X 2 UNIDADES,7700,18989,DISPONIBLE
ACCESORIOS,8036,CANDADO TSA CON COMBINACION 3 DIALES,6999,16989,DISPONIBLE
ACCESORIOS,8038,CANDADO TSA PARA VALIJAS X 2 UN.,13500,32990,DISPONIBLE
ACCESORIOS,8040,CORREA DE VIAJE,3850,9989,DISPONIBLE
ACCESORIOS,8053,BOLSA PLEGABLE,6350,15900,DISPONIBLE
ACCESORIOS,8066,BOLSO PLEGABLE DE MANO,9999,26900,DISPONIBLE
ACCESORIOS,8067,BOLSO PLEGABLE DE MANO IMPERMEABLE,12999,31900,DISPONIBLE
